feature,mean_shap
proxy_ltv_90d,0.7298088047629858
evt_trend,0.3478224761711022
age,0.30345968356156017
transfer_evt_7d,0.23744732064088953
open_card_7d,0.2037387833126451
evt_cnt_1d,0.1510029441950871
evt_cnt_14d,0.11826458806855002
completed_evt_7d,0.10822680270765975
completed_evt_rate,0.09801735982360475
tx_vol_14d,0.069930124121905
gender,0.062449775600274364
uniq_evt_7d,0.06048898815339523
max_tx_7d,0.04216545659101809
is_paid_channel,0.04192872218504947
vol_trend,0.03936473794212771
tx_cnt_14d,0.03614305380548243
error_evt_7d,0.032298852362185805
evt_cnt_7d,0.02975876894980332
tx_trend,0.02713691295408629
tx_vol_7d,0.026438442887539017
tx_vol_3d,0.02617334255043291
error_evt_rate,0.019535970980576807
tx_vol_1d,0.01925110217770293
p2p_7d,0.016408465542075295
products_7d,0.010483920055454525
purchase_7d,0.009246364615336145
digital_ratio,0.009098879851565449
active_days_7d,0.007939986304022843
tx_cnt_7d,0.007910111178291468
product_depth,0.00751604599309082
tx_cnt_3d,0.007256765663397238
tx_cnt_1d,0.0071462468653600555
failed_tx_7d,0.006774271550704598
atm_7d,0.004170252175443111
failed_tx_rate,0.004111863859898339
has_media_7d,0.004078864081345816
has_flights_7d,0.0038801919916302482
has_groceries_7d,0.0017262378794918164
cashin_7d,0.0014910099063457053
large_p2p_7d,0.0011209938047476219
has_tickets_7d,0.000746744191232849
elite_p2p_7d,7.544843053188179e-05
